@relation churn-4000-v8_0.25

@attribute CreditScore[g][mv1.5][i] numeric
@attribute Geography[mv2] {France,Spain,Germany}
@attribute Gender[mv1.5] {Female,Male}
@attribute Age[c][mv2][i] numeric
@attribute Tenure[c][mv1.5][i] numeric
@attribute Balance[g][mv2] numeric
@attribute NumOfProducts[m][mv1.5][i] numeric
@attribute HasCrCard[mv2] {0,1}
@attribute IsActiveMember[g][mv1.5] {0,1}
@attribute EstimatedSalary[g][mv2] numeric
@attribute Exited[c][mv2] {0,1}

@data
761,?,Female,26,?,?,2,1,1,199409.19,0
698,Spain,Female,40,0,92053.44,1,1,1,143681.83,0
496,?,Male,?,2,0,?,?,?,55389.59,0
821,France,Female,28,8,0,1,1,1,36754.13,0
703,Germany,Female,26,1,97331.19,1,1,0,?,0
710,?,Female,32,3,0,1,1,0,94790.34,0
662,France,Male,?,2,?,?,0,1,55120.79,0
606,?,?,?,8,?,2,?,0,?,0
642,Spain,Female,33,9,0,2,1,1,?,0
?,?,Female,?,?,?,1,1,0,32824.15,0
?,France,Male,?,1,0,2,1,1,?,0
504,?,Male,44,4,?,?,1,1,12405.2,0
?,?,Female,57,9,0,?,1,1,?,0
846,France,Female,37,6,127103.97,1,1,?,41516.44,0
581,Spain,Male,?,?,53291.86,1,0,0,196582.28,0
752,Germany,Male,38,?,?,1,1,1,?,0
636,France,Female,34,3,0,2,1,?,?,0
438,Germany,?,31,8,78398.69,1,1,0,44937.01,0
436,Spain,?,?,5,0,2,1,1,?,0
671,?,?,48,8,115713.84,?,0,0,?,0
705,?,Male,36,1,111629.29,1,?,1,21807.16,0
717,France,?,25,7,108664.85,?,1,0,190011.85,0
670,?,Female,?,7,0,?,1,?,88187.81,0
490,Spain,Female,48,8,155413.06,1,1,?,?,0
?,?,Male,42,2,?,2,?,?,18657.77,0
552,?,Female,34,4,0,2,1,?,140286.69,0
599,Spain,Male,36,?,0,2,0,0,?,0
?,Spain,Female,36,6,?,2,1,?,176692.87,0
640,France,Female,33,6,84719.13,?,1,1,113048.79,0
530,Germany,?,42,?,99948.45,1,0,1,97338.62,0
514,France,Male,35,3,121030.9,1,1,?,10008.68,0
634,France,Female,41,8,?,1,?,?,6382.46,0
783,Spain,Male,39,9,0,2,1,0,143752.77,0
662,Germany,Male,30,5,115286.68,?,1,1,149587.92,0
550,Germany,Male,38,2,103391.38,1,?,1,90878.13,0
671,Spain,Male,?,10,?,1,1,0,?,0
751,?,Male,31,?,0,2,?,0,?,0
?,France,Male,32,9,120879.73,2,0,1,78896.59,0
562,Germany,Male,31,4,127237.25,2,0,1,?,0
521,?,?,?,?,?,1,1,1,994.86,0
605,Spain,Female,?,10,150315.92,1,?,?,?,0
756,France,Female,?,9,0,2,1,0,?,0
745,Spain,Male,34,9,0,2,1,0,50046.25,0
430,France,Female,?,8,0,?,1,1,69759.91,0
651,Germany,Male,41,1,90218.11,1,1,0,?,0
635,France,Female,78,6,47536.4,1,1,1,119400.08,0
688,Spain,Male,42,5,0,2,0,0,197602.29,0
?,France,Male,32,6,0,?,1,1,?,0
817,Germany,?,27,7,129810.6,1,1,1,59259.44,0
688,Germany,Male,?,?,146133.39,1,1,1,175296.76,0
625,Spain,Female,69,?,107569.96,1,1,1,?,0
670,Spain,Female,20,4,0,2,?,0,119759.24,0
642,France,Male,?,1,138023.79,2,?,?,117060.2,0
557,Spain,Male,48,10,0,2,?,1,185094.48,0
?,France,Female,?,0,?,1,1,0,80425.65,0
636,Germany,Male,36,6,96643.32,1,?,0,182059.28,0
?,Spain,Male,44,8,?,2,1,1,15627.51,0
536,France,Male,35,8,0,2,1,?,?,0
770,France,Male,?,2,89800.14,?,?,1,105922.69,0
674,?,Male,43,8,?,2,1,0,?,0
634,Spain,Male,?,9,0,?,?,?,8227.91,0
?,?,Male,32,0,109528.16,2,1,?,56176.31,0
491,Germany,Male,70,6,148745.92,2,1,?,17818.33,0
?,France,Male,43,7,107805.67,?,0,0,182505.68,0
702,?,Female,?,6,149218.39,1,1,1,9633.01,0
?,France,?,37,1,0,2,1,?,?,0
447,France,?,32,?,0,1,1,?,151815.76,0
559,?,Male,?,0,0,1,?,0,182988.94,0
545,Spain,Female,74,3,0,2,1,1,161326.73,0
681,Spain,Male,30,2,128393.29,1,1,?,180593.45,0
?,France,Male,45,2,0,2,?,0,125658.28,0
631,?,?,26,1,149144.61,1,0,1,123697.95,0
?,Germany,Male,54,4,?,?,?,1,172601.62,0
701,?,Male,?,?,0,?,?,0,169161.46,0
523,?,Female,26,?,?,?,1,0,185488.81,0
796,?,Male,?,8,165326.2,1,1,1,57205.55,0
?,?,Male,27,8,141223.68,2,1,0,90591.15,0
?,Spain,Male,?,10,134169.62,1,?,1,176730.02,0
?,Spain,?,36,?,0,2,1,1,152979.14,0
?,France,Female,27,2,?,2,1,0,14546.76,0
726,France,?,32,?,0,2,?,?,185075.63,0
?,Spain,Female,56,5,0,2,0,1,153810.41,0
603,Spain,Female,39,5,162390.52,?,1,0,54702.66,0
614,?,Female,31,7,120599.38,2,1,1,46163.44,0
694,?,?,38,7,?,?,1,0,113481.02,0
528,?,Male,31,9,120962.59,1,?,0,5419.31,0
625,France,Female,37,7,115895.42,1,?,?,48486.25,0
787,?,?,46,7,117685.31,2,1,?,?,0
?,France,Male,?,2,?,?,1,1,70783.61,0
?,France,Female,28,4,0,2,?,0,177703.15,0
772,?,Male,36,3,?,1,?,1,186948.35,0
504,France,Male,?,3,134936.97,2,?,0,135178.91,0
712,?,?,24,?,?,?,0,1,121232.51,0
?,Spain,Male,?,?,?,1,1,0,91044.47,0
793,?,Male,?,9,?,2,?,?,88225.02,0
655,Germany,Female,36,?,?,1,?,?,9181.66,0
785,France,Female,40,?,0,?,1,1,96832.82,0
630,Germany,Female,?,?,106937.05,2,?,?,?,0
524,France,Male,44,10,118569.03,2,0,0,82117.2,0
850,France,Female,41,5,?,2,1,1,34827.43,0
?,?,Male,35,?,?,1,1,0,10488.44,0
552,?,Female,?,9,134105.01,1,0,?,?,0
684,?,?,41,7,0,1,?,1,138394.37,0
718,Spain,Male,?,6,0,?,0,1,?,0
678,?,Male,31,?,?,?,1,1,58803.28,0
802,?,?,?,4,90757.64,2,0,?,169183.66,0
721,?,Male,69,?,108424.19,1,1,1,178418.35,0
?,?,Male,44,8,0,2,?,1,154639.72,0
639,?,Male,43,?,99610.92,2,?,0,?,0
850,Spain,Male,31,6,?,2,?,?,?,0
?,France,Male,29,3,0,2,1,0,?,0
?,?,Male,29,2,0,2,0,0,117173.8,0
634,Spain,Female,35,?,?,1,1,0,?,0
762,France,?,20,1,139432.55,1,1,?,?,0
681,Spain,Female,?,2,?,1,?,?,131964.66,0
745,?,Male,34,7,132944.53,?,1,1,31802.92,0
731,France,Female,41,9,152243.57,1,1,1,88783.59,0
614,Germany,Male,43,?,140733.74,1,1,1,166588.76,0
678,?,Female,49,8,0,2,0,1,98090.69,0
621,Germany,Male,47,7,107363.29,1,1,1,?,0
600,?,?,43,5,134022.06,1,1,0,194764.83,0
?,Germany,Male,43,5,136855.94,2,1,0,?,0
599,Spain,Male,51,0,0,1,?,?,?,0
543,?,?,?,?,?,?,1,?,?,0
671,Germany,Female,?,9,116711.06,?,0,0,76373.38,0
713,France,?,43,5,86394.14,1,1,1,?,0
?,Spain,?,?,9,?,2,1,0,?,0
774,?,?,?,3,137781.65,?,0,0,199316.19,0
?,Germany,Male,?,5,146756.68,1,?,0,78268.61,0
704,France,Male,23,?,?,?,1,1,155823.2,0
707,France,Male,32,?,0,2,0,0,30807.02,0
660,France,Female,20,6,167685.56,1,?,0,57929.9,0
554,Germany,Female,31,?,135470.9,1,1,0,107074.81,0
649,Spain,Male,?,2,45022.23,1,?,1,?,0
556,France,Male,40,5,125909.85,1,1,1,?,0
835,?,Male,18,2,142872.36,?,1,1,?,0
723,France,Female,35,?,0,2,0,1,?,0
807,Germany,Female,?,1,134590.21,1,?,1,46253.65,0
?,Germany,Male,47,4,148826.32,?,1,1,79450.61,0
528,?,Male,?,4,0,?,1,0,25399.7,0
500,?,Male,30,?,125495.64,?,1,1,?,0
?,?,Male,?,5,85089.3,1,?,1,71638,0
687,?,Female,35,1,110752.15,2,1,1,47921.22,0
627,Germany,Female,?,?,79871.02,?,1,0,?,0
672,France,?,43,5,?,?,0,0,63833.09,0
?,France,Female,?,8,?,2,?,0,?,0
?,?,Male,38,?,0,?,?,?,?,0
?,?,?,?,?,93460.47,?,0,0,172782.69,0
650,Germany,Male,26,?,214346.96,2,1,0,128815.33,0
628,France,?,38,3,0,?,?,?,48924.73,0
621,?,Female,34,2,91258.52,2,1,0,44857.4,0
695,France,Female,?,?,121453.63,1,0,?,46374.64,0
768,France,Male,25,?,0,2,1,1,21215.67,0
?,Germany,Female,?,2,84266.44,2,0,?,38614.69,0
?,Germany,?,?,1,110824.52,?,1,1,57896.27,0
?,France,Male,34,?,?,?,1,0,112668.06,0
738,France,Male,35,5,161274.05,?,?,0,181429.87,0
639,?,?,?,?,97840.72,?,1,?,178222.77,0
?,France,Male,72,?,?,1,0,1,52876.41,0
714,Spain,Male,25,2,?,1,1,1,132979.43,0
829,?,Female,37,3,103457.76,1,0,0,1114.12,0
?,Spain,Male,?,5,77253.22,1,0,1,194239.63,0
652,Spain,Male,37,7,0,2,1,?,68789.93,0
617,?,?,45,1,0,1,1,0,143298.06,0
798,France,Female,?,4,111723.08,1,1,1,?,0
?,Spain,Female,40,?,0,2,1,0,132368.47,0
?,France,Female,67,7,0,3,1,?,82782.08,0
487,?,?,?,?,89550.85,?,?,1,90076.85,0
563,?,Male,?,7,0,2,0,0,?,0
694,?,?,?,3,156864.2,2,0,0,?,0
782,France,?,32,9,?,?,1,1,87566.97,0
610,France,?,40,0,0,2,1,0,62232.6,0
?,Spain,Male,31,1,?,?,?,?,?,0
648,France,Female,37,7,0,2,1,0,?,0
?,France,Female,?,2,?,2,1,0,149665.65,0
?,Spain,Male,41,2,?,2,0,0,120284.67,0
645,?,Male,33,?,149564.61,1,0,?,149913.84,0
758,France,Male,26,4,?,1,1,0,?,0
?,?,Male,39,8,?,?,1,0,36122.96,0
659,France,Female,33,7,89939.62,1,1,0,136540.09,0
672,France,?,43,4,92599.55,2,1,1,167336.78,0
?,Spain,Male,31,9,0,2,?,1,184061.17,0
840,?,Female,?,1,?,1,?,?,84487.62,0
?,Spain,Male,37,8,0,1,1,1,?,0
725,France,Male,?,?,0,2,?,1,?,0
?,?,Female,29,4,105957.44,1,1,?,?,0
696,Germany,Female,?,7,?,2,1,1,174027.3,0
?,Spain,Female,27,?,0,2,?,0,6468.24,0
?,Germany,?,25,2,150355.35,2,1,?,35770.84,0
?,Spain,Female,30,9,?,?,?,?,157884.83,0
608,?,Female,?,?,?,2,?,0,?,0
?,Germany,Male,39,3,?,?,0,?,171442.36,0
634,Germany,Female,37,?,143258.85,2,1,0,?,0
588,Germany,Male,33,9,150186.22,2,1,1,65611.01,0
?,France,Female,36,?,0,?,1,0,183479.12,0
689,?,Male,?,2,?,1,1,1,?,0
540,Spain,Male,39,2,0,2,?,?,81995.92,0
706,?,?,34,0,?,2,?,1,77271.91,0
670,France,?,?,3,103465.02,2,1,1,174627.06,0
?,?,Male,37,2,?,2,0,0,135067.02,0
456,France,Male,29,5,107000.49,1,?,1,153419.62,0
573,?,Female,33,0,90124.64,?,1,?,137476.71,0
577,?,Male,48,6,?,1,1,0,?,0
429,France,Male,60,?,0,2,1,1,163691.48,0
?,France,Female,73,6,0,2,0,1,107867.38,0
?,France,Female,20,4,?,1,?,?,150245.81,0
679,France,Female,30,1,?,1,1,1,179435.21,0
625,?,Female,37,4,?,1,1,0,35625.41,0
747,Germany,Female,32,5,?,2,?,1,77370.37,0
?,Spain,?,40,3,153639.11,1,1,1,138351.68,0
?,Spain,Male,50,2,0,2,1,0,?,0
815,?,Male,28,?,?,?,0,?,185547.71,0
480,?,Female,28,6,?,2,0,0,?,0
620,France,Male,28,?,71902.52,1,0,1,?,0
547,Spain,?,31,9,0,2,?,?,99294.22,0
672,France,Female,53,?,0,1,?,1,136910.18,0
586,Germany,Male,42,6,126704.49,?,1,0,41682.3,0
?,France,?,30,9,?,?,1,1,?,0
?,?,Male,40,?,103604.31,2,?,0,?,0
?,?,Male,?,7,0,?,1,0,?,0
748,Germany,Female,27,2,90971.85,1,1,1,131662.47,0
?,France,?,39,4,127771.35,2,?,1,151738.54,0
?,Spain,Male,?,6,146282.79,2,1,0,198516.2,0
?,France,?,32,5,0,2,?,0,59249.83,0
646,France,Female,34,3,131283.11,1,?,0,130500.65,0
?,?,?,27,10,?,2,0,?,13007.89,0
745,?,Male,38,5,65095.41,2,1,1,140197.42,0
597,France,?,28,2,0,?,?,?,78707.97,0
667,France,?,42,6,?,?,1,0,?,0
564,?,Female,32,?,139875.2,2,?,0,?,0
?,?,Female,?,7,100169.51,1,?,0,121408.55,0
850,?,Male,34,8,199229.14,?,?,0,68106.29,0
628,France,Male,?,?,88421.81,1,0,?,72350.47,0
?,?,Female,?,?,0,2,1,1,24991.92,0
?,Spain,Female,37,?,?,?,?,0,111175.09,0
778,?,?,41,7,139706.31,1,1,?,63337.19,0
709,Spain,Female,?,8,?,3,1,0,71738.56,0
466,?,Male,26,3,?,?,1,1,?,0
678,Germany,Male,36,3,145747.67,?,0,1,89566.74,0
495,Spain,Female,42,7,?,2,0,0,130404.53,0
700,Spain,Female,46,5,56580.95,2,?,?,?,0
635,Spain,?,41,1,0,?,1,0,175611.5,0
549,Germany,Female,49,6,?,1,?,?,93551.36,0
?,France,?,36,9,127637.92,1,1,?,81062.93,0
?,Spain,Female,23,8,0,2,1,0,56759.79,0
562,France,?,35,7,0,1,0,?,48869.67,0
?,Spain,Female,65,1,0,2,0,?,103182.46,0
659,Germany,Female,32,3,150923.74,2,0,1,?,0
?,?,Male,22,5,0,2,?,0,158974.45,0
728,Spain,Female,37,4,0,1,0,0,4539.38,0
640,?,Female,31,10,118613.34,?,1,?,168469.65,0
?,France,Male,?,7,0,2,?,1,130132.41,0
601,Spain,Male,?,6,0,2,1,0,14665.28,0
?,Germany,Male,26,5,?,1,?,1,3298.65,0
705,?,Female,39,8,144102.32,1,1,?,11682.36,0
789,Spain,Female,40,?,0,?,1,?,?,0
730,France,?,23,8,0,2,1,?,183284.53,0
715,?,Male,23,7,?,?,1,?,?,0
457,?,Male,42,4,126772.57,1,0,1,126106.4,0
657,France,Female,28,7,0,2,0,?,5177.62,0
?,Spain,Male,31,7,149620.88,2,1,?,?,0
616,Germany,?,57,7,116936.81,1,1,?,?,0
?,France,Male,?,?,0,2,0,?,9468.64,0
697,?,Female,48,1,0,2,?,1,?,0
610,?,Female,?,7,81905.95,?,1,1,61623.19,0
531,France,Female,37,1,?,1,1,0,4606.97,0
554,France,Male,33,3,117413.95,1,?,1,12766.74,0
599,?,Male,39,2,188976.89,?,0,1,176142.09,0
762,France,?,36,5,119547.46,1,1,1,?,0
632,?,Female,27,?,?,1,1,1,?,0
687,?,Male,?,8,100988.39,2,1,?,?,0
727,France,?,28,2,110997.76,1,1,0,101433.76,0
687,?,Male,44,?,95368.14,2,1,1,1787.85,0
615,France,Male,30,8,?,?,0,0,3183.15,0
592,?,Male,31,?,?,?,1,0,86079.67,0
659,?,Male,29,9,82916.48,1,1,?,?,0
625,?,Male,41,?,97663.16,2,?,0,?,0
685,France,?,35,?,?,1,1,0,?,0
697,Spain,Female,40,7,130334.35,2,0,?,116951.1,0
?,?,Male,39,?,151914.93,1,0,0,56459.45,0
?,France,Female,39,6,0,?,1,1,140497.67,0
766,?,Female,28,4,?,?,0,1,21597.2,0
628,?,Male,45,9,0,2,1,?,96862.56,0
?,France,?,36,?,?,2,1,?,195681.43,0
667,France,Male,36,9,?,2,1,1,40062.29,0
570,France,Female,?,6,142105.35,1,1,1,?,0
653,France,Male,29,?,0,2,?,1,41671.81,0
?,France,Male,26,6,0,2,0,0,152491.22,0
732,France,Male,36,7,0,2,?,?,60830.24,0
?,?,Male,41,2,?,2,1,0,134272.57,0
702,?,?,36,?,90560.48,2,1,?,174268.87,0
532,?,?,?,?,0,?,1,?,115227.02,0
498,Germany,Male,?,8,108432.88,2,1,?,?,0
591,France,Female,34,3,96127.27,1,0,0,30972.06,0
662,?,?,22,2,126362.57,2,1,?,97382.8,0
?,France,?,30,6,0,1,0,1,175025.27,0
718,Germany,?,33,4,?,1,0,0,88592.8,0
?,Spain,Female,?,5,?,1,?,1,54141.5,0
547,France,Male,?,?,127738.75,2,1,1,?,0
648,?,?,?,?,82697.28,?,1,?,?,0
581,?,Female,31,?,?,2,1,0,188377.21,0
634,France,Male,26,8,0,1,1,0,21760.96,0
?,France,Male,?,4,0,1,1,0,195167.38,0
554,Spain,Female,45,4,0,2,1,1,193412.05,0
?,France,Female,?,?,?,2,?,0,?,0
?,France,Female,43,1,160474.59,1,1,1,?,0
773,?,Male,41,9,?,?,0,1,64595.25,0
?,Germany,?,48,?,127924.25,?,?,?,32202.61,0
?,France,Male,43,9,157960.49,2,?,0,136602.8,0
660,Spain,Male,33,?,0,1,1,0,29664.45,0
?,Spain,Female,35,?,?,2,1,1,116581.1,0
452,France,Female,35,7,0,2,1,0,164241.67,0
604,?,Male,28,7,?,2,0,0,58595.64,0
773,?,?,52,2,?,?,1,?,57337.79,0
684,France,Male,32,9,?,2,0,1,67599.69,0
627,France,Male,37,?,125190.86,?,0,1,?,0
711,Spain,?,?,3,128718.78,?,0,0,?,0
771,France,Female,23,7,156123.73,1,?,0,72990.62,0
?,Spain,Male,29,10,0,2,1,1,?,0
594,?,?,27,0,197041.8,1,0,0,151912.49,0
519,France,Female,?,8,0,1,?,1,?,0
780,?,Female,33,6,145580.61,?,?,1,154598.56,0
697,France,Female,25,4,165686.11,2,1,0,15467.98,0
753,France,Male,48,4,?,?,0,1,?,0
730,?,?,?,3,0,1,1,?,34542.41,0
472,France,?,?,8,102490.27,1,0,?,?,0
673,France,Female,37,?,0,2,1,?,?,0
630,?,?,31,1,0,2,1,1,?,0
?,France,Male,?,7,115076.06,?,1,1,79323.61,0
558,Spain,Female,31,7,0,2,1,?,?,0
537,France,Male,39,2,?,?,1,1,137651.6,0
597,France,?,41,?,?,?,1,1,92090.36,0
850,Spain,Male,38,7,115378.94,1,0,1,?,0
670,France,Female,41,10,0,?,1,?,81602.02,0
?,?,Female,62,?,?,1,0,1,8444.5,0
583,Spain,Female,40,4,0,?,1,?,?,0
634,Germany,Female,31,8,76798.92,1,0,0,196021.73,0
615,?,Male,41,4,130385.82,1,0,1,130661.95,0
?,?,?,?,5,?,1,?,1,141446.01,0
?,France,?,36,1,86837.95,1,1,?,?,0
721,Spain,?,57,1,0,1,?,1,195940.96,0
?,?,?,?,5,?,1,1,1,69039.43,0
534,France,Female,34,?,?,2,1,1,70179,0
809,France,Female,38,2,154763.21,?,1,1,174800.31,0
482,France,Male,55,5,97318.25,1,0,1,?,0
?,Spain,Male,34,3,0,?,1,1,77047.78,0
768,France,?,30,6,0,2,?,1,?,0
611,Germany,Female,29,?,78885.88,?,1,1,26927.69,0
?,?,Male,41,8,?,1,?,1,66463.62,0
751,Germany,Female,37,?,?,1,1,1,109309.29,0
781,France,Female,42,?,?,1,1,1,175674.01,0
?,?,?,32,7,0,?,1,?,24267.28,0
672,France,Male,34,6,0,?,0,0,?,0
648,Germany,Male,41,5,?,1,0,?,5066.76,0
?,Spain,Male,?,?,?,2,0,0,?,0
?,France,Female,34,7,0,?,1,0,195074.62,0
637,Germany,Male,41,2,138014.4,2,?,?,?,0
576,France,Male,55,?,0,2,1,1,94450.97,0
?,?,Female,?,1,65667.79,?,?,0,164608.98,0
542,Spain,Female,26,2,?,2,1,1,54869.54,0
558,Germany,Male,?,1,148853.29,?,?,?,24411.02,0
832,Spain,Male,29,8,93833.86,1,0,?,?,0
683,Germany,Male,?,5,144961.97,?,?,?,26796.73,0
643,Germany,?,41,2,127841.52,1,1,0,172363.41,0
735,France,Male,?,3,119558.35,1,?,0,72927.68,0
?,France,Female,?,8,?,1,?,0,80215.2,0
751,France,?,?,10,?,2,1,?,?,0
699,Spain,Male,47,1,0,2,0,1,30117.44,0
?,France,Male,29,?,?,1,0,0,189268.81,0
692,France,?,40,?,163505.16,?,0,?,90424.09,0
677,France,?,36,4,?,?,1,?,7824.31,0
836,Germany,Female,32,4,109196.67,2,1,0,55218.02,0
673,France,Male,31,?,108345.22,?,0,1,38802.03,0
717,?,Male,35,?,?,?,?,?,?,0
551,France,?,31,1,0,2,?,1,?,0
616,Spain,?,71,?,0,?,1,1,173599.38,0
767,France,Male,36,3,139180.2,?,0,0,123880.19,0
665,?,?,29,1,182781.74,2,1,1,63732.9,0
679,Spain,Male,42,?,0,1,1,1,?,0
793,Spain,Male,41,9,0,2,1,0,152153.74,0
518,?,Male,42,?,151027.05,?,1,0,119377.36,0
673,?,Female,29,4,?,1,1,1,9796.69,0
539,France,Male,?,?,0,2,1,?,47388.41,0
757,Germany,?,31,?,?,2,1,1,?,0
575,?,Male,36,1,0,1,?,1,94570.56,0
464,France,Male,46,6,?,1,1,0,?,0
850,?,Male,?,7,?,1,0,0,?,0
653,?,Male,41,8,?,1,?,0,55663.85,0
663,France,Male,26,5,141462.13,1,1,0,?,0
?,France,Female,81,1,0,2,1,1,59568.24,0
721,France,?,?,?,?,1,1,1,?,0
?,Germany,Male,40,?,89025.88,?,1,?,188892.19,0
?,France,Female,?,4,0,?,0,1,123318.37,0
712,France,Female,29,3,?,2,0,0,166194.53,0
664,?,Male,?,6,71142.77,2,1,0,?,0
582,France,Female,32,1,?,1,0,1,152790.92,0
538,France,Male,37,1,134752.08,1,1,0,?,0
?,Spain,Male,70,3,0,?,?,1,141180.66,0
687,?,?,48,?,0,2,1,?,170893.85,0
678,Spain,Female,27,5,87099.85,2,1,?,149550.95,0
?,France,?,23,9,168372.52,1,1,0,134676.72,0
645,Spain,Female,55,1,133676.65,1,0,1,17095.49,0
601,Germany,Female,?,4,?,2,1,0,104263.82,0
691,France,Female,29,9,0,2,?,?,199635.93,0
443,France,Male,?,?,0,1,1,?,?,0
?,Germany,Female,?,?,167738.82,2,1,?,?,0
?,Germany,?,34,9,162691.16,2,1,?,94912.78,0
?,France,Male,?,10,107209.73,1,1,1,112340.2,0
729,Germany,Female,42,4,97495.8,?,?,?,?,0
597,Spain,Male,?,5,0,?,0,1,95159.13,0
648,France,Male,?,?,?,1,0,?,117323.31,0
?,France,Male,?,6,133970.22,2,0,1,187839.9,0
604,France,Female,56,0,62732.65,1,0,1,124954.56,0
660,France,Male,35,7,0,?,1,0,13218.6,0
?,Spain,Female,32,0,0,1,1,1,?,0
?,?,Male,27,10,0,1,1,0,94544.88,0
621,France,Male,34,6,0,2,1,1,99128.13,0
659,Germany,Male,?,2,?,2,1,?,149066.14,0
?,France,?,?,10,86977.96,1,0,?,37094.75,0
606,Spain,Male,30,8,180307.73,2,?,1,1914.41,0
?,Germany,Male,?,2,117212.18,1,1,?,83052.03,0
?,France,Female,?,?,0,2,1,0,62112.7,0
618,Spain,Female,40,8,0,2,1,0,80204.38,0
502,France,?,?,?,?,2,1,1,80618.47,0
726,?,?,44,2,0,?,1,1,26733.86,0
757,France,Male,31,10,?,2,?,?,?,0
492,Germany,?,38,8,57068.43,2,1,?,?,0
711,Spain,?,28,?,?,2,?,1,93959.96,0
775,Germany,Male,?,8,121669.23,1,0,?,125898.39,0
508,France,Female,31,7,0,2,1,1,6123.15,0
?,France,Male,35,6,99760.84,1,1,1,13591.52,0
709,France,Male,?,4,147307.91,1,?,?,40861.55,0
648,?,Male,34,0,0,1,1,1,167931.81,0
773,France,Male,64,?,145578.28,1,0,?,186172.85,0
511,?,Male,33,?,0,2,?,?,?,0
?,France,Male,33,5,?,1,0,1,?,0
581,France,?,37,10,104255.03,1,?,0,?,0
752,Spain,Male,36,2,0,2,1,?,45570.84,0
?,Spain,Male,52,?,0,2,?,?,?,0
693,France,Female,?,4,152341.55,1,1,?,9241.78,0
696,Germany,Male,32,8,101160.99,?,1,?,115916.55,0
601,Spain,Female,41,3,?,?,1,0,?,0
744,France,Female,38,9,?,2,0,0,20940.76,0
659,France,Female,?,3,0,?,?,0,?,0
?,France,Male,26,3,0,2,1,?,4989.33,0
745,France,?,46,2,122220.19,1,1,1,118024.1,0
657,France,Male,44,6,76495.04,1,1,0,79071.89,0
676,France,Female,?,2,0,1,1,1,55119.53,0
672,France,Male,37,5,153195.59,1,1,1,162763.01,0
587,France,Male,?,1,0,2,0,1,17135.6,0
?,Germany,Female,36,?,77846.9,1,?,0,?,0
705,?,Male,34,7,?,?,?,?,2498.67,0
?,France,?,31,7,155271.83,1,1,?,179446.31,0
514,France,Male,?,1,?,2,?,?,121551.93,0
790,Spain,?,37,3,0,3,0,?,?,0
613,?,Female,43,4,140681.68,1,?,1,20134.07,0
?,Spain,Male,28,3,0,?,?,0,170661.02,0
781,?,Male,?,3,89276.48,1,1,0,?,0
590,France,Female,32,0,127763.24,1,1,?,100717.54,0
598,Germany,Female,27,10,171283.91,1,1,1,?,0
509,?,?,55,?,132387.91,?,1,1,170360.11,0
576,?,Male,41,?,0,?,?,1,188274.6,0
639,?,Female,42,4,0,2,0,0,167682.37,0
632,Germany,?,65,6,?,?,?,1,85179.48,0
662,France,?,38,0,105271.56,1,?,?,179833.45,0
701,Spain,Female,34,?,107980.37,1,?,1,119374.74,0
729,?,Female,38,7,?,2,0,0,45779.9,0
718,Spain,Female,49,?,?,1,?,?,11144.4,0
?,Germany,Male,72,5,94216.05,1,1,1,78695.68,0
694,France,Female,33,4,?,2,?,0,178123.86,0
?,Spain,Male,58,9,109327.65,?,1,1,?,0
663,Germany,?,42,5,90248.79,?,1,1,79169.73,0
489,France,Female,38,5,117289.92,1,0,0,?,0
524,France,Male,22,9,0,2,1,0,74405.34,0
501,France,?,37,?,0,2,?,0,12470.3,0
?,France,Male,40,?,93680.43,2,1,1,179473.26,0
686,Germany,Male,?,3,129626.19,2,?,1,103220.56,0
716,France,Male,41,9,?,1,1,?,?,0
615,Germany,Female,?,3,137657.25,2,1,1,171657.57,0
695,France,Male,45,3,0,?,1,1,30793.61,0
497,?,Male,27,9,?,1,?,1,?,0
595,?,Female,26,?,118547.72,1,1,1,?,0
782,France,?,33,7,191523.09,?,1,?,167058.75,0
575,?,Male,28,?,?,1,1,1,?,0
599,Germany,?,33,2,51949.95,2,1,0,85045.92,0
?,?,Female,?,5,138089.97,2,?,?,?,0
?,?,Female,46,10,0,2,?,0,?,0
667,?,Female,?,9,71786.9,2,1,1,67734.79,0
458,Germany,Female,43,?,106870.12,2,1,0,100564.37,0
757,?,Male,31,1,127320.36,3,1,0,163170.32,0
?,?,Female,?,5,157780.84,2,?,?,58426.81,0
766,Germany,Female,38,7,130933.74,1,?,1,2035.94,0
850,Germany,Male,40,6,94607.08,1,1,0,36690.49,0
?,Germany,?,29,10,?,2,1,?,32526.64,0
?,France,Male,?,?,?,?,0,1,106648.58,0
?,France,Male,28,2,0,1,?,0,98060.51,0
558,France,Male,32,?,73494.21,?,0,0,136301.1,0
?,?,?,59,?,170331.37,?,1,1,32171.79,0
508,?,Female,?,2,111395.53,?,0,1,48197.06,0
728,Germany,Male,32,5,61825.5,1,1,?,156124.93,0
776,?,Female,38,2,169824.46,?,1,?,169291.7,0
697,Germany,?,?,3,108805.42,?,0,1,123825.83,0
683,Spain,Male,30,?,113257.2,?,1,?,?,0
448,?,Female,36,?,?,2,1,?,81999.53,0
?,France,Female,39,2,75339.64,?,1,1,?,0
644,?,Male,?,8,0,2,1,1,155294.17,0
?,France,Male,?,7,?,1,1,0,?,0
603,Germany,Male,35,1,105346.03,2,1,?,130379.5,0
507,?,Male,36,?,83543.37,1,0,0,140134.43,0
